case_id,category,expected_supported,expected_reason,expected_source_ids,legacy_supported,legacy_reason,legacy_source_ids,legacy_label_correct,legacy_reason_correct,legacy_source_ids_correct,legacy_joint_correct,tuned_supported,tuned_reason,tuned_source_ids,tuned_label_correct,tuned_reason_correct,tuned_source_ids_correct,tuned_joint_correct
comparator_negated_same_operator,comparator_negation,false,semantic_relation_mismatch,[],true,supported,"[""comparator#negated""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_rows_correct,subject_relation_binding,true,supported,[],true,supported,"[""tuition#correct""]",true,true,true,true,true,supported,"[""tuition#correct""]",true,true,true,true
direction_rows_swapped,subject_relation_binding,false,semantic_relation_mismatch,[],true,supported,"[""tuition#swapped""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
substring_no_abnormality,substring_regression,true,supported,[],true,supported,"[""substring#no-abnormality""]",true,true,true,true,true,supported,"[""substring#no-abnormality""]",true,true,true,true
substring_unavoidable,substring_regression,true,supported,[],true,supported,"[""substring#unavoidable""]",true,true,true,true,true,supported,"[""substring#unavoidable""]",true,true,true,true
permission_double_negation,permission_negation,true,supported,[],true,supported,"[""permission#double-negation""]",true,true,true,true,true,supported,"[""permission#double-negation""]",true,true,true,true
substring_no_possibility,substring_regression,true,supported,[],true,supported,"[""substring#possibility""]",true,true,true,true,true,supported,"[""substring#possibility""]",true,true,true,true
substring_impressive,substring_regression,true,supported,[],true,supported,"[""substring#impressive""]",true,true,true,true,true,supported,"[""substring#impressive""]",true,true,true,true
substring_possibility_false_support,substring_regression,false,semantic_relation_mismatch,[],true,supported,"[""substring#possibility-negative""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
substring_impressive_false_support,substring_regression,false,semantic_relation_mismatch,[],true,supported,"[""substring#impressive-negative""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
later_compatible_source,multi_source_regression,true,supported,"[""multi#right-second""]",true,supported,"[""multi#right-second"",""multi#wrong-first""]",true,true,false,true,true,supported,"[""multi#right-second""]",true,true,true,true
permission_year_scope_conflict,scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""scope#permission-year""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_year_scope_conflict,scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""scope#comparator-year""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_subject_value_conflict,subject_relation_binding,false,semantic_relation_mismatch,[],true,supported,"[""scope#tuition-percent""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_negated_increase,direction_negation,false,semantic_relation_mismatch,[],false,low_lexical_overlap,[],true,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
critical_date_mismatch,critical_value_regression,false,critical_value_mismatch,[],false,critical_value_mismatch,[],true,true,true,true,false,critical_value_mismatch,[],true,true,true,true
table_row_value_mixing,table_row_regression,false,critical_value_mismatch,[],false,critical_value_mismatch,[],true,true,true,true,false,critical_value_mismatch,[],true,true,true,true
pnu_abbreviated_date_matching,critical_value_regression,true,supported,[],true,supported,"[""date#abbreviated""]",true,true,true,true,true,supported,"[""date#abbreviated""]",true,true,true,true
permission_relation_unverified,permission_unverified,false,semantic_relation_mismatch,[],true,supported,"[""permission#procedure-only""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_value_after_relation_conflict,subject_relation_binding,false,semantic_relation_mismatch,[],true,supported,"[""direction#rate-after""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_value_after_relation_positive,direction_positive_control,true,supported,[],true,supported,"[""direction#parenthetical-rate""]",true,true,true,true,true,supported,"[""direction#parenthetical-rate""]",true,true,true,true
tab_separated_relation_rows,table_row_regression,false,semantic_relation_mismatch,[],true,supported,"[""table#tab-relations""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_contrastive_clause,permission_scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""permission#contrast""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_contrastive_positive,permission_positive_control,true,supported,[],true,supported,"[""permission#contrast-positive""]",true,true,true,true,true,supported,"[""permission#contrast-positive""]",true,true,true,true
title_scope_permission_positive,metadata_scope,true,supported,[],true,supported,"[""scope#title-positive""]",true,true,true,true,true,supported,"[""scope#title-positive""]",true,true,true,true
title_scope_permission_reversed,metadata_scope,false,semantic_relation_mismatch,[],true,supported,"[""scope#title-reversed""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
unscoped_permission_ambiguous_years,scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""scope#ambiguous-years""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
negated_direction_not_frozen,direction_negation,false,semantic_relation_mismatch,[],true,supported,"[""direction#not-increased""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_copular_double_negation,permission_negation,false,semantic_relation_mismatch,[],true,supported,"[""permission#copular-negation""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_conditional_modality,comparator_negation,false,semantic_relation_mismatch,[],true,supported,"[""comparator#conditional""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
compound_man_currency_reversal,comparator_normalization,false,semantic_relation_mismatch,[],true,supported,"[""comparator#compound-money""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
quantity_unit_collision,critical_value_regression,false,critical_value_mismatch,[],false,critical_value_mismatch,[],true,true,true,true,false,critical_value_mismatch,[],true,true,true,true
decimal_quantity_positive,critical_value_positive_control,true,supported,[],true,supported,"[""quantity#decimal-positive""]",true,true,true,true,true,supported,"[""quantity#decimal-positive""]",true,true,true,true
minimum_maximum_reversal,comparator_reversal,false,semantic_relation_mismatch,[],true,supported,"[""comparator#minmax""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
temporal_boundary_reversal,temporal_boundary,false,semantic_relation_mismatch,[],true,supported,"[""temporal#start""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
temporal_range_order_reversal,temporal_boundary,false,semantic_relation_mismatch,[],true,supported,"[""temporal#range""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_under_review,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#permission-review""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_planned_not_completed,relation_modality,false,semantic_relation_mismatch,[],false,low_lexical_overlap,[],true,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
metadata_year_conflict,metadata_scope,false,semantic_relation_mismatch,[],true,supported,"[""scope#metadata-conflict""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
title_scope_comparator_positive,metadata_scope,true,supported,[],true,supported,"[""scope#comparator-title""]",true,true,true,true,true,supported,"[""scope#comparator-title""]",true,true,true,true
title_scope_direction_positive,metadata_scope,true,supported,[],true,supported,"[""scope#direction-title""]",true,true,true,true,true,supported,"[""scope#direction-title""]",true,true,true,true
permission_compound_false_support,permission_scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""permission#compound""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_compound_second_positive,permission_positive_control,true,supported,[],true,supported,"[""permission#compound-positive""]",true,true,true,true,true,supported,"[""permission#compound-positive""]",true,true,true,true
permission_exclusive_subject,permission_scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""permission#wrong-subject""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
temporal_subject_binding,temporal_boundary,false,semantic_relation_mismatch,[],true,supported,"[""temporal#subject""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
calendar_year_scope_conflict,scope_binding,false,critical_value_mismatch,[],false,critical_value_mismatch,[],true,true,true,true,false,critical_value_mismatch,[],true,true,true,true
comparator_postfix_subject,comparator_scope_binding,false,semantic_relation_mismatch,[],true,supported,"[""comparator#postfix-subject""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_possible_not_asserted,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#direction-possible""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_not_required,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#comparator-not-required""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
permission_allowed_negated,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#permission-negated""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_plan_cancelled,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#cancelled""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
temporal_boundary_negated,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#temporal-negated""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
temporal_boundary_planned,relation_modality,false,semantic_relation_mismatch,[],true,supported,"[""modality#temporal-planned""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_slash_rows,table_row_regression,false,semantic_relation_mismatch,[],true,supported,"[""table#slash-direction""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
direction_and_rows,table_row_regression,false,semantic_relation_mismatch,[],true,supported,"[""table#and-direction""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
time_only_boundary_reversal,temporal_boundary,false,semantic_relation_mismatch,[],true,supported,"[""temporal#time-only""]",false,false,true,false,false,semantic_relation_mismatch,[],true,true,true,true
comparator_shared_subject_positive,comparator_positive_control,true,supported,[],true,supported,"[""comparator#shared-subject""]",true,true,true,true,true,supported,"[""comparator#shared-subject""]",true,true,true,true
title_round_scope_positive,metadata_scope,true,supported,[],true,supported,"[""scope#title-round""]",true,true,true,true,true,supported,"[""scope#title-round""]",true,true,true,true
temporal_omitted_endpoint_year_positive,temporal_positive_control,true,supported,[],true,supported,"[""temporal#omitted-year""]",true,true,true,true,true,supported,"[""temporal#omitted-year""]",true,true,true,true
temporal_specific_time_positive,temporal_positive_control,true,supported,[],true,supported,"[""temporal#specific-time""]",true,true,true,true,true,supported,"[""temporal#specific-time""]",true,true,true,true
direction_decrease_synonym_positive,direction_positive_control,true,supported,[],true,supported,"[""direction#decrease-synonym""]",true,true,true,true,true,supported,"[""direction#decrease-synonym""]",true,true,true,true
permission_shared_subject_positive,permission_positive_control,true,supported,[],true,supported,"[""permission#shared-subject""]",true,true,true,true,true,supported,"[""permission#shared-subject""]",true,true,true,true
comparator_complement_positive,comparator_positive_control,true,supported,[],true,supported,"[""comparator#complement""]",true,true,true,true,true,supported,"[""comparator#complement""]",true,true,true,true
